NAME                                  CPU(cores)   MEMORY(bytes)
bloaty-mcbloatface-7d7b64c65d-crcxd   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-dhrnt   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-fnrg6   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-k7pht   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-k7shw   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-mf45g   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-mptlt   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-n62cx   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-nhnb9   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-pthqj   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-q7gbj   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-s529f   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-sqqnq   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-v7hgz   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-w26h4   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-w2qcz   1m           2Mi
bloaty-mcbloatface-7d7b64c65d-w5nd7   1m           2Mi
blue-756d6cc6c9-26sbw                 0m           2Mi
blue-756d6cc6c9-2vfp2                 1m           2Mi
blue-756d6cc6c9-pr2zx                 1m           2Mi
canary-v1-5484598db-bzvtb             0m           2Mi
canary-v2-6bdbfc4f4b-2vvrs            0m           2Mi
canary-v2-6bdbfc4f4b-4pnwh            0m           2Mi
canary-v2-6bdbfc4f4b-tvt4l            0m           2Mi
green-6dbbc7db7c-94cgn                1m           2Mi
green-6dbbc7db7c-fvw2t                1m           2Mi
green-6dbbc7db7c-vw82t                1m           2Mi
hello-world-bd9cf44f8-n6zc8           2m           20Mi
